sample_id,condition
SRR13615479,susceptible
SRR13615480,susceptible
SRR13615481,susceptible
SRR13615482,susceptible
SRR13615483,susceptible
SRR13615484,susceptible
SRR13615485,susceptible
SRR13615486,susceptible
SRR13615487,susceptible
SRR13615488,susceptible
SRR13615489,susceptible
SRR13615490,susceptible
SRR13615491,susceptible
SRR13615492,susceptible
SRR13615493,susceptible
SRR13615494,susceptible
SRR13615495,susceptible
SRR13615496,susceptible
SRR13615497,susceptible
SRR13615498,susceptible
SRR13615499,susceptible
SRR13615500,susceptible
SRR13615501,susceptible
SRR13615502,susceptible
SRR13615503,susceptible
SRR13615504,susceptible
SRR13615505,susceptible
SRR13615506,susceptible
SRR13615507,susceptible
SRR13615508,susceptible
SRR13615509,susceptible
SRR13615510,susceptible
SRR13615511,susceptible
SRR13615512,susceptible
SRR13615513,susceptible
SRR13615514,susceptible
SRR13615515,susceptible
SRR13615516,susceptible
SRR13615517,susceptible
SRR13615518,susceptible
SRR13615519,susceptible
SRR13615520,susceptible
SRR13615521,susceptible
SRR13615522,susceptible
SRR13615523,susceptible
SRR13615524,control
SRR13615525,control
SRR13615526,control
SRR13615527,control
SRR13615528,control
SRR13615529,control
SRR13615530,control
SRR13615531,control
SRR13615532,control
SRR13615533,control
SRR13615534,control
SRR13615535,control
SRR13615536,control
SRR13615537,control
SRR13615538,control
SRR13615539,control
SRR13615540,control
SRR13615541,control
SRR13615542,control
SRR13615543,control
SRR13615544,control
SRR13615545,control
SRR13615546,control
SRR13615547,control
SRR13615548,control
SRR13615549,control
SRR13615550,control
SRR13615551,control
SRR13615552,control
SRR13615553,control
SRR13615554,control
SRR13615555,control
SRR13615556,control
SRR13615557,control
SRR13615558,control
SRR13615559,control
SRR13615560,control
SRR13615561,control
SRR13615562,control
SRR13615563,control
SRR13615564,control
SRR13615565,control
SRR13615566,control
SRR13615567,control
SRR13615568,control
