Geneid	SRR13615479	SRR13615480	SRR13615481	SRR13615482	SRR13615483	SRR13615524	SRR13615525	SRR13615526	SRR13615527	SRR13615528
1	11	13	16	11	9	76	78	89	77	74
10	3	5	6	1	1	0	2	0	1	2
100	141	125	132	261	260	77	103	85	118	120
1000	4	5	9	12	10	18	20	27	10	7
10000	1554	1520	1592	1072	1093	670	655	700	916	957
100008587	0	0	0	0	0	0	0	0	0	0
100008588	0	0	0	0	0	0	0	0	0	0
100008589	0	0	0	0	0	0	0	0	0	0
100009601	0	0	0	0	0	0	0	0	0	0
100009602	0	0	0	0	0	0	0	0	0	0
100009605	0	0	0	0	0	0	0	0	0	0
100009606	0	0	0	0	0	0	0	0	0	0
100009607	0	0	0	0	0	0	0	0	0	0
100009613	2	0	3	0	0	18	5	10	5	7
100009676	58	54	60	80	82	38	30	34	72	72
10001	206	209	207	263	236	316	314	307	302	300
10002	2	0	0	5	1	3	17	10	11	7
10003	172	204	210	598	555	98	124	101	88	104
100033411	0	1	0	0	0	1	2	2	0	1
100033413	0	1	0	0	0	2	1	0	0	0
100033414	0	0	0	0	1	0	0	0	0	0
100033415	0	0	0	0	0	0	0	0	0	0
100033416	4	1	6	4	1	4	4	5	1	1
100033417	0	0	0	0	0	0	0	0	0	0
100033418	1	1	0	0	0	0	0	1	0	0
100033419	0	0	1	0	0	0	0	0	0	0
100033420	0	0	0	0	0	0	0	0	0	0
100033421	0	0	0	0	0	0	0	0	0	0
100033422	0	0	0	0	0	0	0	0	0	0
100033423	0	0	0	0	0	0	0	0	0	0
100033424	0	0	0	0	0	1	0	2	0	0
100033425	0	0	0	0	0	0	0	0	0	0
100033426	1	2	0	0	0	0	1	0	1	1
100033427	0	0	0	0	0	0	0	0	1	2
100033428	0	0	0	0	0	0	0	0	0	0
100033429	0	0	0	0	0	0	0	0	0	0
100033430	0	0	0	0	0	0	0	0	0	0
100033431	0	1	0	1	0	1	2	2	1	0
100033432	0	0	0	0	0	2	2	7	0	3
100033433	1	0	1	0	0	0	0	0	0	0
100033434	0	0	0	0	0	0	0	0	0	0
100033435	5	2	4	0	1	3	0	3	2	3
100033436	0	0	0	0	0	0	0	0	0	0
100033437	0	0	0	0	0	0	0	0	0	0
100033438	0	0	0	0	0	0	0	0	1	0
100033439	0	0	0	0	0	0	1	0	0	0
100033440	0	0	0	0	0	0	0	0	0	0
100033441	0	0	0	0	0	0	0	0	0	0
100033442	0	0	0	0	0	0	0	0	0	0
100033443	0	0	0	0	0	0	0	0	0	0
100033444	0	0	0	0	0	0	0	0	0	0
100033445	0	0	0	0	0	0	0	0	0	0
100033446	0	0	0	0	0	0	0	0	0	0
100033447	0	0	0	0	0	0	0	0	0	0
100033448	0	0	0	0	0	0	0	0	0	0
100033449	0	0	0	0	0	0	0	0	0	0
