Geneid	SRR13615525	SRR13615524	SRR13615526	SRR13615527	SRR13615479	SRR13615481	SRR13615480	SRR13615482	SRR13615528	SRR13615483
100287102	0	0	0	0	0	0	0	0	0	0
653635	9	17	25	29	4	11	5	3	18	2
102466751	3	2	2	2	0	1	1	0	3	1
100302278	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0
729737	14	8	8	31	15	11	11	4	38	4
102725121	2	1	1	0	1	0	1	6	0	2
102723897	70	35	20	32	16	5	10	15	21	16
102465909	0	0	0	0	0	0	0	0	0	0
729759	0	0	0	0	0	0	0	0	0	0
100132287	0	1	1	2	0	0	0	0	1	0
105378947	0	0	1	0	0	0	0	0	0	0
101928626	0	2	2	0	0	0	0	0	1	2
102465432	20	8	7	10	11	4	9	54	10	54
81399	0	0	0	0	0	0	0	0	0	0
100133331	12	13	17	9	5	3	10	6	10	6
100288069	2	9	3	4	2	2	4	4	2	7
400728	1	3	9	9	9	7	14	26	14	8
79854	6	12	6	10	4	4	1	3	10	3
643837	151	142	178	261	305	300	291	1297	276	1330
284593	2	4	2	1	0	0	1	0	1	0
100130417	2	2	5	4	9	8	8	1	3	1
148398	2	4	3	10	10	8	13	1	8	2
26155	687	684	694	915	436	467	467	690	914	704
339451	61	60	67	71	19	13	25	27	91	19
84069	21	38	25	42	19	11	11	1	37	1
84808	22	22	19	29	10	12	11	0	35	1
57801	83	58	67	110	26	23	22	23	100	19
9636	81	74	72	119	63	59	58	61	116	70
375790	2431	2387	2422	2257	817	857	878	300	2232	275
105369174	2	3	5	1	2	1	1	0	0	0
105378948	11	12	22	8	5	5	3	0	12	0
401934	1	1	4	7	0	0	0	0	13	0
54991	130	136	137	125	32	42	40	38	133	46
254099	5	2	5	4	1	1	0	0	9	0
406984	1	1	0	2	0	0	0	0	0	0
406983	7	2	4	0	0	0	1	0	0	0
554210	4	3	2	2	1	0	0	0	3	0
254173	10	8	16	7	16	17	20	27	13	19
8784	26	24	25	20	19	6	7	1	16	5
7293	10	8	21	30	10	10	16	14	34	14
51150	1524	1516	1544	2198	1158	1227	1105	1342	2195	1445
126792	282	308	274	424	264	283	251	310	465	311
388581	8	7	6	10	4	1	9	3	6	2
118424	402	469	438	655	349	359	382	557	646	582
6339	52	70	74	65	16	16	19	22	74	16
116983	403	368	393	503	186	161	196	225	549	268
102465434	0	0	0	0	0	0	0	0	0	0
126789	77	107	90	168	33	40	44	78	148	68
54973	872	945	914	1112	426	404	410	595	1163	568
102465435	0	0	0	0	0	0	0	0	1	0
80772	252	249	275	430	161	157	162	222	435	221
83756	13	16	11	11	4	2	4	7	8	2
1855	466	449	511	852	240	299	228	521	855	481
102466740	0	0	0	0	0	0	0	0	0	0
54587	1935	1882	1839	3364	1896	1915	1953	2387	3451	2532
54998	482	474	518	974	402	440	405	863	931	827
81669	2648	2608	2631	1805	788	739	761	981	1804	990
148413	257	264	255	320	175	204	219	177	354	202
55052	736	780	715	1212	661	669	684	1316	1213	1395
441869	355	344	408	404	184	171	170	85	418	89
643965	0	0	0	0	0	0	0	0	0	0
102724312	23	20	14	51	10	5	13	32	47	27
64856	614	556	613	941	353	309	327	479	1008	448
219293	174	170	172	120	63	78	54	26	116	20
83858	148	184	190	192	40	36	38	73	182	70
55210	109	115	111	168	60	69	72	99	169	92
339453	10	13	9	18	8	7	7	8	20	6
29101	1213	1195	1168	1750	1126	1109	1036	2197	1704	2132
643988	111	85	87	123	45	40	46	6	127	3
142678	257	253	237	389	94	95	101	105	366	93
8510	0	0	0	0	0	1	0	0	0	0
984	257	255	259	298	231	227	245	293	328	311
728661	607	594	632	724	183	192	217	472	741	483
8511	1	1	6	0	0	0	0	0	1	0
728642	151	140	138	136	107	94	103	96	109	96
9906	521	526	545	183	308	319	349	94	153	93
65220	597	637	615	1019	789	791	766	1216	1027	1211
2782	4300	4143	4266	6291	5628	5890	5617	7321	6178	7340
105378949	2	1	0	11	7	5	8	7	12	6
163688	21	21	15	3	7	4	6	4	10	3
339456	33	34	41	33	6	6	4	26	34	39
85452	0	3	3	1	0	0	0	2	1	1
2563	1	2	7	6	4	4	3	1	3	3
5590	192	209	178	177	60	93	64	7	191	6
100506504	41	42	42	43	11	17	12	5	47	6
199990	255	249	242	402	121	127	117	140	382	138
105378592	9	7	9	27	8	8	8	17	18	5
6497	1647	1605	1594	2964	1739	1705	1662	2537	2984	2604
105378594	1	8	5	2	0	0	0	0	2	5
79906	129	134	133	167	49	41	50	35	172	35
100129534	53	50	40	63	19	21	14	9	48	16
11079	1833	1877	1920	1943	1497	1558	1494	2210	2044	2158
5192	226	209	228	276	183	188	218	218	283	232
9651	180	191	197	188	38	54	32	5	208	5
55229	195	200	218	336	151	194	181	259	309	225
388585	3	0	3	7	2	4	2	14	3	16
115110	69	70	71	71	45	45	47	33	67	29
8764	816	740	800	969	284	277	306	171	934	184
100996583	8	5	5	9	11	5	11	6	4	4
127281	350	344	382	468	298	314	312	211	432	205
79258	35	31	32	26	15	20	12	16	38	24
100287898	28	28	26	35	13	16	15	3	37	3
140625	0	0	0	0	0	0	0	0	0	0
440556	6	12	4	26	18	23	14	16	24	21
63976	11	19	14	30	61	49	55	35	50	54
100422968	0	0	0	0	0	0	0	0	0	0
27237	105	121	104	144	58	74	84	286	155	293
1953	363	342	378	505	405	364	352	101	479	101
693135	0	0	0	0	0	0	0	0	0	0
127262	1423	1402	1555	1742	1369	1418	1429	1811	1780	1832
49856	223	194	208	314	152	122	144	216	284	174
7161	150	118	149	76	31	38	21	3	82	4
57212	567	616	581	573	343	331	399	370	611	321
148870	9	7	7	9	1	3	0	5	6	1
388588	34	27	36	18	1	3	9	8	36	11
57470	774	726	817	1045	551	552	543	875	1091	863
9731	478	472	462	550	488	539	491	824	532	856
1677	111	132	123	101	50	57	79	54	86	73
339448	409	426	457	390	270	276	263	344	369	299
100133612	3	4	2	6	1	0	1	5	3	5
728716	0	0	0	0	0	0	0	0	0	0
284661	2	1	3	0	1	0	1	0	0	0
55966	9	19	24	28	35	30	32	18	28	15
100616489	0	0	0	0	0	0	0	0	0	0
100616421	0	0	0	0	0	0	0	0	0	0
261734	166	149	136	168	89	115	126	67	192	52
8514	162	159	182	191	105	128	112	74	212	95
26038	4	7	5	11	5	0	3	0	11	1
6146	8652	8702	8787	8457	4972	4995	4823	4539	8472	4598
102724450	10	11	11	7	4	6	4	17	7	9
388591	226	186	163	146	62	53	72	64	157	38
23463	1080	1123	1082	1814	2112	2095	2121	2579	1783	2517
148645	0	0	1	1	1	1	3	0	0	0
390992	0	0	0	0	0	0	0	0	0	0
387509	185	164	159	228	271	280	230	185	240	202
11332	92	82	100	160	138	174	150	117	136	111
54626	6	4	6	5	9	7	15	0	3	2
83715	110	75	95	110	26	33	37	4	96	4
100422975	0	0	0	0	0	0	0	0	0	0
8718	127	131	123	204	68	77	62	113	236	123
57449	347	368	349	911	526	517	537	936	920	865
79707	354	363	344	348	271	279	250	457	365	405
80835	10	8	4	4	0	0	1	8	6	5
3104	313	305	321	312	127	127	119	149	343	161
9903	1498	1394	1441	2411	956	956	979	2822	2413	2799
148479	617	570	579	704	310	350	356	406	688	422
90326	297	269	260	388	160	187	164	326	416	314
55735	345	275	314	467	315	344	339	569	416	577
100505887	0	0	0	0	0	0	0	0	0	0
23261	703	633	677	569	453	452	421	501	590	491
9341	1532	1598	1535	2580	2638	2728	2688	4009	2528	4005
8863	729	721	733	1150	887	899	949	1398	1089	1342
10911	1	1	1	10	4	4	8	0	11	0
3604	2	1	2	4	4	6	3	0	7	2
11315	2632	2645	2676	3187	2701	2756	2745	4206	3186	4210
54206	970	1037	966	1280	768	858	844	734	1290	658
102724539	0	0	0	0	0	1	0	0	0	0
50651	20	20	17	43	31	35	44	30	48	32
473	1919	1964	2041	2151	1862	1879	1820	2043	2209	2049
102724552	2	4	3	4	1	7	2	5	5	4
2023	11830	11924	11795	15055	8819	8812	8897	12240	15224	12324
102465436	1	0	0	0	0	0	0	0	0	0
100505975	9	6	7	4	1	6	2	7	7	2
765	88	81	104	77	3	4	8	1	77	4
155184	3	0	3	6	0	0	0	0	3	1
6518	58	50	49	41	47	56	32	1388	29	1370
80045	97	97	84	93	34	35	21	73	73	70
407040	5	4	7	5	1	0	1	0	1	0
9563	2803	2780	2823	3386	2315	2422	2287	1960	3458	2058
80176	248	249	233	994	440	454	438	776	1036	810
100506022	17	26	16	61	87	64	55	61	56	60
84275	169	132	162	262	215	202	216	656	312	617
199953	214	188	197	224	91	107	99	163	217	179
5293	432	423	416	373	161	137	179	117	335	104
644997	0	1	0	0	1	0	0	1	0	0
101929074	77	73	69	48	16	19	14	3	52	4
22883	6013	6229	6197	3931	2409	2443	2483	1314	4145	1311
56998	813	784	807	1163	815	834	842	1105	1111	1079
84328	322	302	334	370	337	367	381	429	351	434
64802	236	222	257	233	255	248	217	416	233	424
100847055	0	0	0	0	1	0	0	0	0	0
105376719	1	3	2	1	0	2	0	0	0	0
116362	1475	1476	1500	1189	2049	1945	1997	3213	1266	3226
10277	1013	963	897	1138	807	800	781	1011	1084	1020
23095	1587	1538	1566	1679	1141	1152	1150	1640	1619	1615
100422970	0	0	0	0	0	0	0	0	0	0
5226	1192	1228	1279	2661	2290	2269	2314	7467	2618	7422
100526739	2	1	2	2	0	1	1	0	1	1
378708	27	32	23	23	16	21	23	9	33	14
1325	6	2	4	0	1	1	1	1	0	0
1676	260	302	275	371	340	343	328	387	357	405
5195	241	243	273	375	196	190	218	358	408	373
54897	494	485	506	382	195	181	176	54	430	66
148345	1	1	1	4	0	1	1	1	6	0
23435	2000	1939	2139	2212	1855	1823	1826	2147	2221	2266
10747	120	130	123	116	33	38	40	30	95	37
6723	519	500	433	929	473	434	428	601	900	581
5394	1104	1075	1148	1302	885	986	884	1024	1340	1062
2475	774	754	797	916	994	1008	1078	1303	974	1356
100873935	0	1	1	0	2	0	1	0	0	0
10218	37	49	35	99	84	88	79	7	102	20
29914	363	371	377	480	261	286	275	345	524	307
57540	5	7	10	12	3	6	3	0	15	0
101929181	0	0	0	0	0	0	0	0	0	0
26232	318	317	327	402	77	101	113	5	381	8
93611	476	473	494	474	155	194	181	120	494	147
26270	145	150	142	143	102	103	88	138	167	168
10459	240	274	256	310	178	203	166	182	342	175
374946	2	1	3	2	0	1	1	0	6	0
