Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	61/158	8.085380307359863E-7	2.538809416510997E-4	0	0	2.303674270415642	32.31603048237768	RPL5;MRPS15;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL37;RPS11;RPL39;RPS10;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;MRPL19;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RSL24D1;RPS24
Coronavirus disease	81/232	1.875276431006108E-6	2.9441839966795895E-4	0	0	1.9674785178698484	25.944656158916366	RPL5;NRP1;RPL3;CXCL8;RPL32;RPL31;RPL34;RPLP1;RPLP0;PIK3CD;RPL8;RPL10A;TNF;C4B;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;IL12A;RPL37;RPS11;RPL39;RPS10;IKBKE;RPS12;RPS9;RPL21;RPS7;VWF;RPS8;RPS5;RPS6;MMP3;RPL13A;RPSA;RPS3A;ACE2;OAS2;AGTR1;RPL24;RPL27;MASP2;RPL26;MASP1;RPL29;IL6ST;RPL28;TLR4;TLR2;RPL12;RPL36A;TMPRSS2;C6;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL41;RPL35A;SELP;MAPK10;RPS25;RPS28;IL6;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RSL24D1;RPS24
Glyoxylate and dicarboxylate metabolism	18/30	5.695346911983819E-6	5.961129767876398E-4	0	0	5.4695207073057235	66.04917205913024	ACSS2;MDH1;GLDC;SHMT1;AMT;HOGA1;ACAT1;GCSH;CS;PCCA;CAT;PCCB;PGP;ACO1;ACO2;ACSS1;GLUL;DLD
Ras signaling pathway	75/232	8.814518991940464E-5	0.006919397408673264	0	0	1.7489640858047841	16.329247291800215	FLT1;CALML5;RASGRF2;PIK3CD;FASLG;ETS1;FGF2;HTR7;FGF9;AKT2;PRKACG;AKT3;KDR;RAC2;PRKACA;MAP2K1;HGF;PLA2G4B;PLA2G4A;PLAAT3;GAB2;KSR2;NGF;PGF;ZAP70;MRAS;RASA3;KIT;RIN1;RAPGEF5;SOS1;PLA1A;SHC4;PDGFB;PDGFA;PLA2G3;TGFA;RASAL1;RASAL3;EFNA4;NTF4;GRIN2A;GNG2;GNG7;NTF3;FGF20;PAK6;PAK3;PAK5;PAK4;NTRK1;ANGPT4;ANGPT2;ANGPT1;BDNF;EGF;PLA2G2A;IGF2;VEGFB;VEGFC;PTPN11;IGF1;GNG11;GRIN2B;GRIN1;FGF17;MAPK10;EFNA3;GNB3;TEK;CALM1;FGFR4;FGFR3;FGFR2;LAT
Pyruvate metabolism	21/47	3.3520850190393875E-4	0.021051093919567353	0	0	2.944550908928092	23.55863872866998	ACSS2;PDHA1;MDH1;ADH1B;ADH1A;PDHB;ACACB;ACACA;ACAT1;ALDH3A2;LDHB;LDHA;PC;ALDH2;LDHD;ME1;DLAT;ACSS1;PCK1;DLD;PCK2
PPAR signaling pathway	29/74	4.389222715143499E-4	0.022970265542584314	0	0	2.35093694113988	18.17553598205825	AQP7;LPL;FADS2;ACADL;ME1;OLR1;ACADM;CD36;PCK1;RXRG;PCK2;HMGCS1;ACSL1;ADIPOQ;ACSL6;ACSL4;SORBS1;FABP3;FABP4;FABP5;ACOX1;SCD;EHHADH;PLIN4;PLIN2;PPARG;PLIN1;PPARA;SLC27A2
Regulation of lipolysis in adipocytes	23/55	5.725769196573565E-4	0.02568416468177285	0	0	2.62051595620778	19.563104102719844	NPR1;PDE3B;PTGER3;IRS4;AQP7;PIK3CD;PLAAT3;ADRB1;ABHD5;ADCY1;ADRB2;GNAI1;ADCY5;PTGS1;LIPE;FABP4;AKT2;PRKACG;AKT3;PLIN1;PRKACA;MGLL;PNPLA2
Propanoate metabolism	16/34	8.430291641282144E-4	0.031939426162941355	0	0	3.238449612403101	22.92339474336354	ACSS3;ACSS2;ECHS1;ACACB;ACACA;ACAT1;LDHB;LDHA;ALDH6A1;PCCA;ACOX1;EHHADH;PCCB;ECHDC1;ACSS1;DLD
Malaria	21/50	9.154612594473638E-4	0.031939426162941355	0	0	2.6394363935610774	18.46571479195082	TGFB2;CXCL8;KLRB1;HGF;ITGB2;IL18;HBB;ITGAL;TNF;THBS4;COMP;SELP;IL6;KLRK1;CD40LG;PECAM1;IL12A;CD36;ACKR1;TLR4;TLR2
Cell adhesion molecules	48/148	0.0013947731497043392	0.04379587690071625	0	0	1.7526522961574509	11.523730023402846	ITGB1;CNTNAP2;NLGN1;SELPLG;ITGB2;LRRC4;PTPRM;ITGAL;SPN;CDH5;CDH4;CLDN20;MPZ;CTLA4;ITGB8;ITGB7;ICOS;HLA-DOB;CD34;ICOSLG;HLA-DQA1;CADM3;NEGR1;L1CAM;SELP;CLDN11;CD2;CLDN10;CLDN4;OCLN;VCAN;CLDN3;CD40LG;CD8B;SELL;CD6;CD8A;CLDN8;CLDN7;CLDN19;PECAM1;CD226;ESAM;CLDN16;PDCD1;NECTIN3;HLA-DQB1;NECTIN1
