Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FCGR Activation	68/94	8.097806884000381E-26	1.5750234389380742E-22	0	0	9.640228885991597	556.9701926155311	IGHV1-2;IGHV3-23;CD3G;IGHV4-39;IGLV8-61;IGHG3;IGLV2-8;IGHG4;FCGR3A;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;FGR;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;FYN;IGKV1-33;FCGR1A;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Creation of C4 and C2 Activators	67/96	5.3023104569755235E-24	5.156496919408697E-21	0	0	8.512226000438236	456.20338539325076	FCN2;IGHV1-2;IGHV3-23;IGHV4-39;IGLV8-61;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;MASP2;MASP1;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;COLEC11;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Scavenging of Heme From Plasma	65/92	8.423166643834072E-24	5.46101970741909E-21	0	0	8.866802582398913	471.1025879897102	IGHV1-2;IGHV3-23;HP;HBB;IGHV4-39;IGLV8-61;JCHAIN;IGLV2-8;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGHA1;IGKV3-11;IGHA2;AMBP;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Classical Antibody-Mediated Complement Activation	63/88	1.2929516685420657E-23	6.2869774882857945E-21	0	0	9.278316482482953	488.99074737768336	IGHV1-2;IGHV3-23;IGHV4-39;IGLV8-61;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
CD22 Mediated BCR Regulation	54/70	4.826778855639851E-23	1.877616974843902E-20	0	0	12.407203190990145	637.5475826562273	IGHM;IGHV1-2;IGHV3-23;IGHV4-39;IGLV2-8;IGKV1-16;IGKV1-17;IGKV2-28;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGKV2D-28;IGHD;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;CD79A;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;PTPN6;IGKV3-20
Initial Triggering of Complement	69/104	1.1086188484989526E-22	3.593772767217438E-20	0	0	7.264159574825928	367.2305585792277	FCN2;IGHV3-23;IGHV1-2;IGHV4-39;IGLV8-61;C4B;IGHG3;IGLV2-8;IGHG4;IGHG1;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;MASP2;MASP1;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;COLEC11;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;GZMM;IGLV1-51;IGLV2-23;IGKV3-20
FCGR3A-mediated IL10 Synthesis	74/121	4.659394445716064E-21	1.2946460281311062E-18	0	0	5.803856069497527	271.70985191221075	IGHV3-23;IGHV1-2;CD3G;IGHV4-39;IGLV8-61;IGHG3;IGLV2-8;IGHG4;IGHG1;FCGR3A;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;PRKACG;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;PRKACA;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;FGR;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;ADCY1;ADCY5;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;PRKAR2B;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;FYN;IGKV1-33;IGKV3-11;FCGR1A;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;CALM1;IGKV3-20
Role of LAT2 NTAL LAB on Calcium Mobilization	63/95	8.164950874163187E-21	1.985103681280925E-18	0	0	7.245444392193746	335.13394569170356	IGHV1-2;IGHV3-23;IGHV4-39;IGLV8-61;IGLV2-8;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;GAB2;IGKV1D-33;IGLV4-69;LAT2;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;SOS1;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGKC;IGLV1-47;IGLV5-45;IGLV6-57;IGKV1-39;IGLV2-14;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;FYN;IGKV1-33;IGKV3-11;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
Binding and Uptake of Ligands by Scavenger Receptors	73/122	5.245294187762644E-20	1.021771861379019E-17	0	0	5.489738200252997	243.7134717770491	SPARC;IGHV3-23;IGHV1-2;HP;HBB;IGHV4-39;IGLV8-61;JCHAIN;IGLV2-8;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;CD36;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;COL4A2;COL4A1;IGLV3-12;IGKV4-1;IGHV7-81;MASP1;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;COLEC11;IGHV2-5;IGKV2D-30;IGHV4-59;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;APOB;IGHA1;IGKV3-11;IGHA2;AMBP;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;COL3A1;IGLV1-51;IGLV2-23;IGKV3-20
Role of Phospholipids in Phagocytosis	67/107	5.3246230929558257E-20	1.021771861379019E-17	0	0	6.1670275358907976	273.6887347224983	IGHV3-23;IGHV1-2;CD3G;IGHV4-39;IGLV8-61;IGHG3;IGLV2-8;IGHG4;IGHG1;FCGR3A;IGHG2;IGKV1-16;IGKV1-17;IGKV2-28;IGLV7-46;IGKV1-12;IGLC3;IGLC2;IGHV3-7;IGHV3-30;IGKV3D-20;IGKV1D-39;IGKV1D-33;IGLV4-69;IGLV5-37;IGKV2D-28;IGLV3-16;IGLV3-12;IGKV4-1;IGHV7-81;IGKV2-30;IGLV3-19;IGLV10-54;IGHV2-70;IGHV2-5;IGKV2D-30;IGHV4-59;PLD4;IGLV3-1;IGHV1-69;IGLV3-25;IGLV1-40;IGLV3-27;IGLV1-47;IGLV6-57;IGKC;IGLV5-45;IGLV2-14;IGKV1-39;IGLV3-21;IGLV1-44;IGKV3-15;IGLV2-18;IGKV1-33;IGKV3-11;FCGR1A;IGHV3-53;IGLC7;IGKV2D-40;IGHV3-11;IGKV5-2;IGKV1-5;IGKV1D-16;IGKV1D-12;IGLV1-51;IGLV2-23;IGKV3-20
