Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Ribosomal Proteins WP477	61/88	9.880823511543904E-22	7.884897162212035E-19	0	0	8.313330722026373	402.08484972884816	RPL5;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPS15;RPS14;RPS17;RPS6KA6;RPS16;RPS19;RPL18A;RPS18;RPS6KA2;RPS6KA1;RPL36;RPL35;RPL37;RPS11;RPS10;RPL39;RPS12;RPS9;RPS7;RPL21;RPS8;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL24;RPL27;RPL26;RPL29;RPL28;RPL12;MRPL19;RPL36A;RPS15A;RPS3;RPL14;RPL13;RPS2;RPS27A;RPL18;RPL17;RPL41;RPL35A;RPS25;RPS28;RPS27;RPS29;RPL27A;FAU;RPS21;RPS24
Fatty Acid Biosynthesis WP357	18/22	2.948243015064683E-9	1.1763489630108085E-6	0	0	16.416938110749186	322.4624248143084	PECR;ACSS2;ECHS1;MECR;ACAA2;ACSL1;ACSL6;ACSL4;ACACB;ACACA;ACLY;PC;SCD;FASN;ECHDC1;ECHDC3;HADH;DECR1
Vitamin D Receptor Pathway WP2877	69/186	9.059662833560374E-7	2.4098703137270594E-4	0	0	2.1616525692343918	30.077803976485594	ORM1;CDKN1A;STEAP4;LPGAT1;SLC2A4;ADRA1B;ORM2;THBD;SULT1C2;STS;DUSP10;CCND1;CYP2D6;MYC;DNER;DACT2;TNFSF11;SOSTDC1;CTLA4;TIMP3;IL12A;JUNB;ABCD1;SLC34A2;G6PD;S100A2;IGFBP5;IGFBP3;HNF1A;SFRP1;CEACAM1;IRF4;IRF8;PRKCQ;IRF5;S100A8;CEBPA;COLEC11;COL13A1;TNFRSF11B;ADRB2;ASAP2;CYP3A4;FOXO1;PTHLH;IL1RL1;CRACR2A;CRACR2B;CBS;BGLAP;DND1;NRIP1;HSD17B2;CD14;HLA-DQA1;KL;TGFB2;CDKN2B;CDKN2C;GADD45A;KRT13;KLF4;BMP6;CYP24A1;KRT16;TNFSF4;CYP2S1;PNOC;ID1
Pleural Mesothelioma WP5087	132/437	1.2655337292176092E-5	0.0025247397897891306	0	0	1.5907814312133655	17.939928640185553	SPARC;WWC1;FZD10;FGF2;CDH8;CDH6;CDH5;CDH4;RPS6KA5;SOX17;FGF9;CCND1;RASSF4;MYC;AKT2;AKT3;RASSF6;RPS6KA1;KDR;MAP3K9;CCN2;CER1;PDK1;MAP2K1;WNT5B;SERPINF1;HGF;RPS6;DKK1;DKK2;PGF;DKK4;SFRP1;COL4A2;COL4A1;COL4A4;COL4A3;TELO2;IDO1;PDGFB;PDGFA;TGFA;AGER;EFNA4;FOXO1;WNT6;CDH20;FGF20;WNT4;FZD1;WNT10A;BDNF;WNT3A;FZD7;FN1;IGF2;RASSF7;IGF1;FOSL1;FGF17;EFNA3;IL6;CYCS;FGF13;FGFR4;FGFR3;FGF12;FGFR2;EZH2;ITGB1;CDKN1A;FLT1;ITGB4;LAMC3;ITGB3;ITGB2;PTEN;PIK3CD;LAMC1;FOXM1;CXCL5;BBC3;MDK;ADAMTS1;TEAD1;TEAD4;MAP4K1;ITGA2;ITGA1;MST1;MMP3;NGF;WNT16;MMP9;SLC7A5;LATS2;KIT;CDH12;CDH13;SOS1;CDH17;CDH19;UHRF1;LAMA1;LAMA4;NTF4;WIF1;CCL5;NTF3;CCL4;E2F1;PAK6;CTNNA3;PAK3;PAK5;PAK4;MAP4K4;NTRK1;ANGPT4;ANGPT2;ANGPT1;LAMB3;EGF;IL34;VEGFB;VEGFC;MAPK10;FABP4;ACTC1;NOTUM;TEK;MAD2L1
Hippo Merlin Signaling Dysregulation WP4541	45/120	4.939118922770151E-5	0.007882833800741161	0	0	2.192788574104425	21.74311809843133	ITGB1;FLT1;ITGB4;ITGB3;ITGB2;ITGAL;FOXM1;CDH8;CDH6;CDH5;CDH4;CCND1;CDH20;PRKAR2B;MYC;PRKACG;KDR;ITGAX;ITGB8;PAK6;ITGB7;CCN2;PRKACA;PAK3;TEAD1;PAK5;PAK4;TEAD4;NTRK1;ITGA2;ITGA1;MST1;LATS2;ITGA10;KIT;CDH12;ITGA7;CDH13;ITGA5;TEK;FGFR4;FGFR3;CDH17;FGFR2;CDH19
TCA Cycle And Deficiency Of Pyruvate Dehydrogenase Complex PDHc WP2453	11/16	6.83548168197336E-5	0.00909119063702457	0	0	8.012497096399535	76.84624532907645	CS;ACLY;PDHA1;PC;MDH1;IDH1;OGDH;ACO1;DLAT;PCK1;DLD
Familial Partial Lipodystrophy WP5102	16/30	1.3533351937422146E-4	0.015428021208661246	0	0	4.164784053156146	37.09893141646506	CEBPA;ICMT;CIDEA;LPL;GATA2;CIDEC;KLF2;LIPE;FABP4;KLF5;AKT2;PPARG;PLIN1;PPARA;MGLL;PNPLA2
Focal Adhesion PI3K Akt mTOR Signaling WP3932	92/303	2.0004103441267592E-4	0.019551556459388178	0	0	1.5971878141605629	13.603229511474565	ITGB1;CDKN1A;CHRM1;FLT1;ITGB4;LAMC3;ITGB3;ITGB2;IRS4;PTEN;PIK3CD;PRL;SLC2A4;LAMC1;ITGAL;FGF2;GYS2;COMP;GHR;LIPE;GYS1;PPP2R1B;FGF9;CREB3L4;AKT2;AKT3;KDR;ITGAX;ITGB8;ITGB7;MAP2K1;VWF;HGF;ITGA2;F2R;RPS6;PPP2R5A;NGF;PGF;COL2A1;COL4A2;COL4A1;COL4A4;KIT;ITGA7;ITGA5;SOS1;CREB5;PFKFB1;PFKFB3;EPAS1;LAMA1;LAMA4;COL11A2;PDGFB;PDGFA;LPAR2;LPAR3;IL2RG;EFNA4;FOXO1;ACACA;THBS4;GNG2;GNG7;FGF20;ANGPT4;ANGPT2;LAMB3;ANGPT1;EGF;NOS3;FN1;VEGFB;VEGFC;IGF1;GNG11;FGF17;COL3A1;EFNA3;LPAR5;ITGA10;COL5A3;COL5A2;GNB3;TEK;IL7R;FGF13;FGFR4;FGF12;FGFR3;FGFR2
Omega 3 Omega 6 Fatty Acid Synthesis WP4723	10/15	2.205062758577614E-4	0.019551556459388178	0	0	7.282396655829076	61.31475328926336	FADS2;ELOVL5;ACSL1;ACOX1;PLA2G4B;ACOT2;PLA2G4A;ACOT1;ACSL4;FADS1
Epithelial To Mesenchymal Transition In Colorectal Cancer WP4239	54/160	2.451404639677072E-4	0.019562209024623037	0	0	1.8620277485103105	15.480301342854697	NRP2;SPARC;PIK3CD;FZD10;FOXM1;FOXQ1;CLDN20;AKT2;AKT3;CDKL2;MAP2K1;WNT5B;WNT9B;WNT16;MMP9;TGFBR2;CLDN11;CLDN10;CLDN4;ZEB2;CLDN3;ZEB1;LATS2;COL4A2;COL4A1;MMP15;CLDN8;COL4A4;COL4A3;CLDN7;CLDN19;ITGA5;CLDN16;SOS1;NOTCH4;EIF5A2;TWIST2;TWIST1;DLL4;WNT6;WNT4;FZD1;WNT10A;TGFB2;FZD4;WNT3A;FZD7;FN1;DLK1;TJP1;OCLN;ID1;EZH2;CRB3
