"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"54097",371.183702400027,-4.5332163170328,0.147537474037635,-30.7258636939685,2.56975822370478e-207,5.13617576171875e-203,"yes"
"80022",622.476318261621,-1.46397408166301,0.0706313114079425,-20.726984286156,1.97803302835816e-95,1.31783153792649e-91,"yes"
"23363",970.905595617695,-1.26588164163601,0.066516418406371,-19.0311155044807,9.42254272819625e-81,2.69040516440655e-77,"yes"
"283234",163.982602533972,-3.10660176311891,0.168475373817815,-18.4395006387006,6.33233437039774e-76,1.58205458826425e-72,"yes"
"92304",645.972848957642,-6.85515575985612,0.372627131916322,-18.3968239902497,1.39293485161239e-75,3.09339876435298e-72,"yes"
"29894",827.86499671819,-1.21693015236185,0.0666305800329302,-18.2638384921821,1.60593875573134e-74,2.91799071916384e-71,"yes"
"54540",489.920340148583,-1.2768947849271,0.0713939471272116,-17.8851966631275,1.5380954586222e-71,2.56182616095682e-68,"yes"
"81628",497.163855720354,-1.23422253861354,0.0696386121258199,-17.7232500898152,2.77411652936963e-70,4.26509746711622e-67,"yes"
"10811",103.359195824413,-3.22286831070477,0.18582429388524,-17.3436327582394,2.20359151785201e-67,2.9362122444872e-64,"yes"
"349136",326.251170941829,-2.06398991527288,0.120619098711479,-17.111634370689,1.21540717214371e-65,1.42896136174331e-62,"yes"
"163732",432.630560296221,-1.88596019317162,0.114345816518829,-16.4934778603034,4.08730373650736e-61,4.29962840955645e-58,"yes"
"375775",425.876706143595,-1.51571854968094,0.0945106783319873,-16.0375375188471,6.98703464228965e-58,6.0717331041497e-55,"yes"
"80305",237.543062195246,-1.45640114924496,0.0917675160561552,-15.8705521499977,1.0134538797224e-56,8.43995945583815e-54,"yes"
"100131897",374.45568333245,-2.20827054591581,0.139216740311662,-15.8621049521214,1.15941833781487e-56,9.26931772716228e-54,"yes"
"84875",460.346824371785,-1.27099573844517,0.083044664744501,-15.3049656152575,7.08394212362164e-53,5.44564427787792e-50,"yes"
"3291",92.8969783664625,-2.9478477468847,0.196303064372515,-15.0168198153581,5.69764218729752e-51,3.9268542895695e-48,"yes"
"27352",690.911549483772,-1.01683779806179,0.0700032742768672,-14.5255748186883,8.34394149539248e-48,5.21157370838779e-45,"yes"
"23162",384.139360197664,-1.49266616328531,0.102882670408066,-14.5084313749333,1.07142764921897e-47,6.48928012876956e-45,"yes"
"400931",140.5114862226,-2.05420443434972,0.141767890865213,-14.4899132082227,1.4032001044491e-47,8.24875308459533e-45,"yes"
"9762",273.216049025539,-1.20437886417344,0.0838984603357001,-14.3551962617002,9.88453094705332e-47,5.48783666774319e-44,"yes"
"197335",185.743819364772,-1.98549307932166,0.14195042564489,-13.9872287828757,1.86540074544519e-44,9.81151702610871e-42,"yes"
"728294",276.729443256761,-1.41724950450866,0.101426274412727,-13.973198884754,2.27188622047896e-44,1.16431256124905e-41,"yes"
"64599",1031.21644996933,-1.25347073084986,0.0909738908535514,-13.7783568350142,3.44013328203798e-43,1.67702302214861e-40,"yes"
"201294",109.938612823285,-2.0188011092501,0.147303725036312,-13.7050241516462,9.47357833915296e-43,4.50829548249167e-40,"yes"
"54862",528.742763563717,-1.00667237810537,0.0744376433171553,-13.5237002844952,1.13328907556039e-41,4.92414103330988e-39,"yes"
"6376",2914.44954219708,-2.27616895726414,0.172023394855944,-13.2317407127691,5.7539140129754e-40,2.34700978321101e-37,"yes"
"5284",11862.1274894623,-4.73041822721581,0.36152767828724,-13.0845257813356,4.0367160135986e-39,1.61363685927591e-36,"yes"
"4609",939.113020324057,-1.65349134261622,0.127575111765778,-12.9609241154493,2.03777683568909e-38,7.98608737547407e-36,"yes"
"6625",1278.85792604013,-1.13994193603884,0.0888729343129234,-12.8266490225819,1.16285835965973e-37,4.22582727900346e-35,"yes"
"84266",316.368062551962,-1.34411204565164,0.106378157105751,-12.6352258980709,1.350058693405e-36,4.81850412590817e-34,"yes"
"91544",213.021228213032,-1.52871675624407,0.122880496122792,-12.4406785818675,1.57163029430456e-35,5.4853135801472e-33,"yes"
"27151",536.987784267789,-1.40941188420194,0.113777068898325,-12.3874863173127,3.05468841611272e-35,1.01756762288075e-32,"yes"
"56931",159.496500060702,-1.43039687216585,0.116419924873998,-12.2865297646772,1.07001579996086e-34,3.39466758632027e-32,"yes"
"3575",201.735095758074,-2.19928087304937,0.179484444828246,-12.2533229838047,1.6125063604506e-34,5.03580697286347e-32,"yes"
"123096",754.577092567919,-2.08912619892887,0.171180158851523,-12.204254353689,2.94998540856166e-34,9.0709782093726e-32,"yes"
"6374",47.7401525928374,-3.51408777968446,0.288546282885655,-12.1785931343188,4.04193875663128e-34,1.2165395251573e-31,"yes"
"63922",69.1010139549023,-2.17559096695037,0.180268204387147,-12.068633924361,1.54680702203129e-33,4.35437069709006e-31,"yes"
"29763",375.319953884737,-1.46600393818851,0.121635509802088,-12.052433870453,1.88306258111083e-33,5.15572216557016e-31,"yes"
"64788",320.459497341192,-1.46124964356419,0.121299745065767,-12.0466011101005,2.02113462312074e-33,5.45897536652895e-31,"yes"
"3159",562.483507489497,-1.07800970179903,0.0904980963034207,-11.9119599840498,1.02538272795393e-32,2.6274775107199e-30,"yes"
"84809",243.110746420698,-1.0961662094471,0.0922325210997172,-11.8848123891353,1.41953446319889e-32,3.5914221918932e-30,"yes"
"1535",430.891638743291,-1.40424926452644,0.118648983999961,-11.8353248143018,2.56349179272443e-32,6.3254951186646e-30,"yes"
"58489",202.501592873156,-1.504521157081,0.127539997927854,-11.796465277756,4.07053223656133e-32,9.80213588098208e-30,"yes"
"1128",180.333091969511,-4.268567842092,0.362576088495376,-11.7728884433768,5.38486341198243e-32,1.26620311782697e-29,"yes"
"203062",186.631946004658,-1.11112374166047,0.0943794038483037,-11.7729472358862,5.38111101966095e-32,1.26620311782697e-29,"yes"
"1119",822.978728646301,-1.93021117456277,0.165216918317471,-11.6828905551536,1.55902134033523e-31,3.58162753210117e-29,"yes"
"8175",492.226508184595,-1.16616240040437,0.099887053639746,-11.6748102773185,1.71447809287649e-31,3.89400836844573e-29,"yes"
"6132",19650.0012060937,-1.31293398598302,0.11255622311825,-11.664694759735,1.93094366827179e-31,4.2881967886387e-29,"yes"
"9610",95.4981344060413,-1.83798275990887,0.157647516662841,-11.6588120055182,2.06909093388469e-31,4.44676564468316e-29,"yes"
"56949",688.677214865497,-1.054029086637,0.0904947491895034,-11.6474060216442,2.36549996949991e-31,5.02970722238242e-29,"yes"
"55384",364.084442539091,-1.42089975438102,0.122120979882613,-11.6351814057407,2.73009088722289e-31,5.74382384872883e-29,"yes"
"29989",84.4668947415699,-3.09810976994257,0.266537996676867,-11.623520130597,3.12969763051407e-31,6.51596526469632e-29,"yes"
"90864",499.185584051781,-1.19734151942784,0.103516308737625,-11.5666945047534,6.07794187481879e-31,1.22706893183842e-28,"yes"
"100507303",206.283532008765,-2.76519235514621,0.239805378474155,-11.5309855547891,9.20834705824252e-31,1.84047232653093e-28,"yes"
"738",1249.53748324619,-1.21690465188731,0.105654783646109,-11.5177430674917,1.07386996828136e-30,2.10425873098428e-28,"yes"
"7517",149.191798971741,-1.3279620432894,0.115509513688301,-11.4965599013157,1.37278411594048e-30,2.63825347358678e-28,"yes"
"7039",237.182637590646,-3.18146290994341,0.276850111508387,-11.4916439535081,1.45319813068086e-30,2.76619724170651e-28,"yes"
"30812",125.708299985,-3.22597090131792,0.283980389715903,-11.359836869529,6.62682651602817e-30,1.22639242199866e-27,"yes"
"84532",539.46291272921,-1.1247648078687,0.0993088635827601,-11.3259256756207,9.76418953788644e-30,1.77415323903397e-27,"yes"
"102723775",61.6305264918921,-3.02791465844941,0.267437379646747,-11.3219575455343,1.02164747962997e-29,1.8396097455283e-27,"yes"
"23491",124.519903862115,-4.00995096775768,0.357538459734578,-11.2154395102964,3.4248080145286e-29,6.00452963038449e-27,"yes"
"55367",104.440899493196,-1.72163179846721,0.154081507088779,-11.1735134929284,5.49628801994476e-29,9.38925714996888e-27,"yes"
"3662",134.641272110743,-3.01374052611604,0.272785310376403,-11.0480308560513,2.24075928493476e-28,3.70132692793315e-26,"yes"
"55621",331.974181094132,-1.13517885515977,0.103007549114653,-11.0203462262388,3.04884115856192e-28,4.91428937388524e-26,"yes"
"25873",7944.7276419986,-1.91441998904188,0.17393817047753,-11.0063247404869,3.56241205121515e-28,5.65094679901882e-26,"yes"
"85378",562.391615353038,-1.15427612814566,0.104946915206393,-10.9986665722914,3.87824141722278e-28,6.10349694535682e-26,"yes"
"6616",37.8936404474398,-4.18287115862915,0.380795984277473,-10.9845464010493,4.53511014078898e-28,7.08150362374604e-26,"yes"
"80194",274.838451389972,-1.08743165968134,0.0990535095077915,-10.9782244474216,4.86389570503113e-28,7.50981067687992e-26,"yes"
"4034",293.699140094068,-1.03979373522975,0.0949238332337447,-10.9539796256364,6.35909741962713e-28,9.70223512412882e-26,"yes"
"4832",228.905681284325,-1.62461776650262,0.149122739497756,-10.8945005434739,1.22436481245664e-27,1.81269477826451e-25,"yes"
"765",40.5016170090544,-4.12112193830423,0.379301763975499,-10.8650218103664,1.69182750691795e-27,2.46821579421672e-25,"yes"
"91133",154.809507934045,-1.25946146218016,0.116445841585497,-10.8158560669206,2.89576366066979e-27,4.16385815005807e-25,"yes"
"253039",298.274217141374,-1.1902296252277,0.110948894899108,-10.7277285304197,7.54274705917129e-27,1.05424395434725e-24,"yes"
"6176",14810.0325661156,-1.61188167586251,0.150406082990239,-10.7168649287085,8.48301121077112e-27,1.17595745541638e-24,"yes"
"286257",176.018258734645,-1.20071182370755,0.112500852326945,-10.6729131279654,1.36285358939537e-26,1.81595697941636e-24,"yes"
"11209",53.3790956323983,-2.43225599170337,0.228746594014182,-10.6329713987023,2.09334588807492e-26,2.7708413420499e-24,"yes"
"27037",402.634807792286,-1.03537031415827,0.0982442221192913,-10.5387400075405,5.72609082557165e-26,7.28964186819749e-24,"yes"
"114823",2024.04933640015,-1.5202512880648,0.144598292285226,-10.513618549976,7.47684828264041e-26,9.45821307754012e-24,"yes"
"84171",757.113961699528,-2.22349454202133,0.211922872033521,-10.4919989083086,9.40179887535579e-26,1.1818475101996e-23,"yes"
"340348",257.772466959883,-1.80631436751636,0.173583886332348,-10.4060025713328,2.32792565241318e-25,2.87211419844335e-23,"yes"
"5790",53.2240569326306,-2.4890513072818,0.239403120438166,-10.3969041954267,2.56119303135214e-25,3.12137592180703e-23,"yes"
"100862671",205.695790197449,-1.16097159263208,0.112014610541713,-10.3644657336888,3.59763268544962e-25,4.20502248444921e-23,"yes"
"81890",289.920317785787,-1.3440991679892,0.131338279152224,-10.2338722318065,1.39814605912173e-24,1.60601984388885e-22,"yes"
"1731",70.6583096242189,-1.84514708331444,0.180502616314224,-10.2222733442398,1.57600741338784e-24,1.78975341882857e-22,"yes"
"79575",103.382949205849,-1.40545991785825,0.138156291083169,-10.1729708205049,2.61799592913898e-24,2.90699359087226e-22,"yes"
"92822",214.154838566699,-1.07224349527815,0.105518304060927,-10.1616824191851,2.93959474125787e-24,3.21058361166782e-22,"yes"
"2001",1564.26180042658,-3.72337631848699,0.366623972318088,-10.1558452245903,3.12094042746223e-24,3.39012153933085e-22,"yes"
"1",41.8912498101405,-2.41854171394699,0.240026237865606,-10.0761555713803,7.04279864185202e-24,7.40865349761559e-22,"yes"
"79778",131.330836891015,-2.00103055366984,0.19860707306303,-10.0753237173723,7.10265159433257e-24,7.43249724690707e-22,"yes"
"3669",152.737531309069,-1.41355386279152,0.14043124200612,-10.0658075980693,7.8242512810636e-24,8.14496408096969e-22,"yes"
"339855",67.1067435289727,-2.11784749417941,0.210885865579356,-10.0426241861262,9.90046180529122e-24,1.02000273248637e-21,"yes"
