"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"7402",4954.95926097307,1.1354909244377,0.0565604996207396,20.0756876627968,1.2040475788571e-89,6.01632473965421e-86,"yes"
"19",1382.28988722766,1.73861930767712,0.0878253281856972,19.7963314637549,3.20178912981609e-87,1.27988318675268e-83,"yes"
"5168",3766.56975535636,1.5906408085486,0.0829591513453474,19.173783515781,6.12852052420883e-82,2.0415123286227e-78,"yes"
"2086",423.4321386893,2.28744945647927,0.124382457508344,18.3904507299658,1.56672090204018e-75,3.13140506690771e-72,"yes"
"342035",308.58726048899,1.99452724554435,0.120449121936002,16.5590849770087,1.37671816776641e-61,1.52869255661929e-58,"yes"
"22875",646.14529239161,1.13922312084686,0.0701832862540462,16.232114249013,2.98981352396626e-59,2.84559061445303e-56,"yes"
"339290",1189.04268398411,1.48098157335929,0.096924411311896,15.2797582498964,1.04327016553007e-52,7.72290399942576e-50,"yes"
"51715",395.046111554741,1.26020817113987,0.0849468469642098,14.835255411785,8.66734095956584e-50,5.77447145862808e-47,"yes"
"28996",3041.45200539442,1.90197357167966,0.131547810199403,14.4584206213437,2.21829717618192e-47,1.26677444743851e-44,"yes"
"222223",502.070514041935,1.50801473286483,0.109025845607751,13.8317178322131,1.64055379314851e-43,8.19743716591481e-41,"yes"
"57186",886.318172492495,1.18680684163611,0.0868695603404397,13.6619413864309,1.71353696967969e-42,7.96475893325303e-40,"yes"
"4430",1549.68092434053,1.08482666539857,0.0798189476451585,13.5910920577562,4.5228124797502e-42,2.05448756892653e-39,"yes"
"5552",1221.55758171422,1.15053710620801,0.0858907673299743,13.3953525154559,6.43696845616229e-41,2.68032684444408e-38,"yes"
"185",504.604389833409,1.64250957424217,0.127610537920347,12.8712691052788,6.53199714619468e-38,2.51067359540371e-35,"yes"
"7881",449.492176399382,1.57098240393808,0.122266382469834,12.8488499635269,8.72984032948983e-38,3.29213808802855e-35,"yes"
"126326",108.072247834319,2.14560429738907,0.167126737860283,12.8381869044963,1.00193550768614e-37,3.70846018372646e-35,"yes"
"3672",1563.92751973499,1.71001501077755,0.137464757077441,12.4396612421482,1.59177559237773e-35,5.4853135801472e-33,"yes"
"8490",8449.9415107196,1.91578763169786,0.154119683046233,12.4305188917574,1.78472092552562e-35,6.04596900652214e-33,"yes"
"257194",678.303862571611,1.54182636965631,0.124858401187954,12.3485993332186,4.95668815565257e-35,1.62408731421357e-32,"yes"
"9781",670.982734104625,1.13532543299382,0.0932285918229101,12.1778674416793,4.07805814707255e-34,1.2165395251573e-31,"yes"
"143503",137.853979292799,3.96083840215056,0.32789125067393,12.0797319050437,1.35159695065947e-33,3.85919546469012e-31,"yes"
"4012",407.046727940569,1.4367930802563,0.119154888412291,12.0581966833355,1.75585389750324e-33,4.87420164574961e-31,"yes"
"8825",228.026773247572,1.04870929191878,0.0873477072747232,12.0061456063227,3.29864229369101e-33,8.7906618032003e-31,"yes"
"23077",3011.86839747286,1.38536081502119,0.116747097706833,11.8663405106653,1.77043860693336e-32,4.42321955459714e-30,"yes"
"3437",611.485080384733,1.28275913983575,0.108485533012582,11.8242414837651,2.9253311066026e-32,7.13031619849589e-30,"yes"
"2042",159.762186603417,2.72563570354626,0.233524049069425,11.6717559258145,1.7771677966837e-31,3.9910396350918e-29,"yes"
"590",102.715078865666,2.44214657254762,0.210914135907862,11.5788662624987,5.27389112781824e-31,1.08669342238869e-28,"yes"
"11080",665.369284415659,1.36677644487209,0.118097573135128,11.5732813857929,5.62879222303201e-31,1.14798643022184e-28,"yes"
"91543",217.917377220925,1.12925419838996,0.10040376551188,11.2471299520768,2.39250869371513e-29,4.23177621781277e-27,"yes"
"55151",186.040103209681,1.10393522238643,0.0986401660059803,11.1915385697901,4.48581401774708e-29,7.79634476284442e-27,"yes"
"8672",1184.06345783419,1.27958482043189,0.11535098835756,11.0929679810415,1.35709022480638e-28,2.27934137169791e-26,"yes"
"3572",8642.96260128652,1.12546127403643,0.102173776929366,11.015167569018,3.22935149613089e-28,5.16360386825345e-26,"yes"
"23500",1011.40748355787,1.56257479849425,0.142338982779823,10.9778415440226,4.88455189870611e-28,7.50981067687992e-26,"yes"
"55711",221.380861483983,1.23375330720539,0.11289726218988,10.9281065215768,8.45951649504561e-28,1.27128087358253e-25,"yes"
"129607",142.07210059706,1.69337283992762,0.15512169601199,10.9164151982759,9.62189161421912e-28,1.43516975890595e-25,"yes"
"8622",537.391447602444,2.00303567516501,0.18525330602276,10.8124152716547,3.00648325661766e-27,4.29218434642979e-25,"yes"
"3486",3986.9169179214,1.1249045017655,0.104691797352004,10.7449153631707,6.26193289874253e-27,8.87640091114659e-25,"yes"
"79772",414.036323915014,1.72831152561411,0.161323620342096,10.7133197355051,8.81432190072178e-27,1.20665651938169e-24,"yes"
"80243",366.947507677238,2.58731904709389,0.242176502565654,10.6836089368021,1.21456172497604e-26,1.63668297124979e-24,"yes"
"7099",650.976082272041,1.29241472966541,0.121572343858344,10.6308284322571,2.14201213241927e-26,2.81660503228053e-24,"yes"
"399888",38.0768146310421,2.8811875251567,0.272273686050991,10.5819536472471,3.61344016072899e-26,4.62960439054425e-24,"yes"
"7082",1902.27418873478,1.29092361544815,0.12358250353402,10.4458445049447,1.53086737393854e-25,1.90046249707513e-23,"yes"
"5321",399.268022074962,1.64194451372204,0.158078319228879,10.3869051855536,2.8443286973521e-25,3.40416752538781e-23,"yes"
"408050",68.3150914506835,1.7289193669909,0.166633828856294,10.375560466068,3.20327161394811e-25,3.81093986595125e-23,"yes"
"66008",1622.85359933641,1.55847421948229,0.150309501637479,10.3684344802171,3.45132494117322e-25,4.05774303524877e-23,"yes"
"22900",904.996105560469,1.05604064141046,0.1038237729507,10.171472403646,2.65859005311962e-24,2.93575908241447e-22,"yes"
"90355",423.715488965256,1.14552232540964,0.114085160354804,10.0409406608807,1.00709141073513e-23,1.03224287314682e-21,"yes"
"552",564.8759831334,2.31457633467631,0.23058601949575,10.0377999487474,1.03967074956017e-23,1.05481722190148e-21,"yes"
"5965",461.959262569571,1.02471958158509,0.102197023729549,10.0269023909824,1.16101875810843e-23,1.17198393526835e-21,"yes"
"51705",1268.86347769455,1.40075929852882,0.140056511020912,10.0013864997656,1.50278073148939e-23,1.47960977735362e-21,"yes"
"80731",105.206286125669,1.3044800590819,0.130957918874684,9.96106283828608,2.25637464204986e-23,2.1373535531114e-21,"yes"
"2113",2704.48373961809,1.51842814882871,0.152837344620597,9.93492887878974,2.93385240021233e-23,2.75300037197388e-21,"yes"
"51393",180.743333566046,1.01325421214012,0.102032350422904,9.93071518925497,3.06052425129011e-23,2.84514875397839e-21,"yes"
"4584",67.5552574369875,2.07429874689524,0.210315971319534,9.86277330190844,6.03587775258925e-23,5.3617372729334e-21,"yes"
"2220",51.4321119006165,2.19165626936555,0.222399830534021,9.85457706556251,6.54918362142114e-23,5.74116372988352e-21,"yes"
"8850",778.251245640736,1.31360321550999,0.13552096067984,9.69298925362028,3.22935801829656e-22,2.61316513002807e-20,"yes"
"9510",1036.81533184576,1.01588281724701,0.10493892922472,9.68070500387476,3.6419580250676e-22,2.92336606614562e-20,"yes"
"9411",2400.39617148116,1.37658908016672,0.14446731230105,9.52872354472894,1.5922895654714e-21,1.22404198250295e-19,"yes"
"4619",73.8151031818423,4.22802541929632,0.445833100854512,9.48342644633746,2.46067472231999e-21,1.82153724722258e-19,"yes"
"133584",819.691830984933,1.4997535464001,0.159214849176162,9.41968386843562,4.52448186876338e-21,3.32466246731521e-19,"yes"
"90102",1397.67138522435,1.7135650575234,0.182924700937838,9.3675979719421,7.42019248231086e-21,5.33479809870314e-19,"yes"
"91607",522.375262689137,1.10770798177087,0.118567664017377,9.3424121234988,9.41639851494558e-21,6.72162703993633e-19,"yes"
"6330",1326.35699667656,1.16217555498524,0.125235170078977,9.27994551572321,1.69565250906423e-20,1.16463940545247e-18,"yes"
"23670",745.56659217412,1.12024668077857,0.120732867351971,9.27872173790692,1.71523904100291e-20,1.17405762714127e-18,"yes"
"79630",155.122228905309,1.09338820541247,0.118596046025693,9.21943219907675,2.98677588839954e-20,1.95726851414563e-18,"yes"
"79625",176.33568212328,2.4195569755356,0.264276724358729,9.15539187723279,5.41608727284979e-20,3.43655035944282e-18,"yes"
"79750",215.928223144627,1.39980971551616,0.152963903783158,9.15124209630874,5.62826399428357e-20,3.5486470805598e-18,"yes"
"4939",419.838128571604,1.2697332530974,0.13904033122706,9.1321218950771,6.7169627990036e-20,4.20852462268605e-18,"yes"
"3037",46.9676396820135,1.92366671397376,0.210843995671627,9.12364949187227,7.26362020038236e-20,4.53681177953257e-18,"yes"
