"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant"
"54097",371.183702400027,-4.5332163170328,0.147537474037635,-30.7258636939685,2.56975822370478e-207,5.13617576171875e-203,"yes"
"80022",622.476318261621,-1.46397408166301,0.0706313114079425,-20.726984286156,1.97803302835816e-95,1.31783153792649e-91,"yes"
"7402",4954.95926097307,1.1354909244377,0.0565604996207396,20.0756876627968,1.2040475788571e-89,6.01632473965421e-86,"yes"
"19",1382.28988722766,1.73861930767712,0.0878253281856972,19.7963314637549,3.20178912981609e-87,1.27988318675268e-83,"yes"
"5168",3766.56975535636,1.5906408085486,0.0829591513453474,19.173783515781,6.12852052420883e-82,2.0415123286227e-78,"yes"
"23363",970.905595617695,-1.26588164163601,0.066516418406371,-19.0311155044807,9.42254272819625e-81,2.69040516440655e-77,"yes"
"283234",163.982602533972,-3.10660176311891,0.168475373817815,-18.4395006387006,6.33233437039774e-76,1.58205458826425e-72,"yes"
"92304",645.972848957642,-6.85515575985612,0.372627131916322,-18.3968239902497,1.39293485161239e-75,3.09339876435298e-72,"yes"
"2086",423.4321386893,2.28744945647927,0.124382457508344,18.3904507299658,1.56672090204018e-75,3.13140506690771e-72,"yes"
"29894",827.86499671819,-1.21693015236185,0.0666305800329302,-18.2638384921821,1.60593875573134e-74,2.91799071916384e-71,"yes"
"54540",489.920340148583,-1.2768947849271,0.0713939471272116,-17.8851966631275,1.5380954586222e-71,2.56182616095682e-68,"yes"
"81628",497.163855720354,-1.23422253861354,0.0696386121258199,-17.7232500898152,2.77411652936963e-70,4.26509746711622e-67,"yes"
"10811",103.359195824413,-3.22286831070477,0.18582429388524,-17.3436327582394,2.20359151785201e-67,2.9362122444872e-64,"yes"
"349136",326.251170941829,-2.06398991527288,0.120619098711479,-17.111634370689,1.21540717214371e-65,1.42896136174331e-62,"yes"
"342035",308.58726048899,1.99452724554435,0.120449121936002,16.5590849770087,1.37671816776641e-61,1.52869255661929e-58,"yes"
"163732",432.630560296221,-1.88596019317162,0.114345816518829,-16.4934778603034,4.08730373650736e-61,4.29962840955645e-58,"yes"
"22875",646.14529239161,1.13922312084686,0.0701832862540462,16.232114249013,2.98981352396626e-59,2.84559061445303e-56,"yes"
"375775",425.876706143595,-1.51571854968094,0.0945106783319873,-16.0375375188471,6.98703464228965e-58,6.0717331041497e-55,"yes"
"80305",237.543062195246,-1.45640114924496,0.0917675160561552,-15.8705521499977,1.0134538797224e-56,8.43995945583815e-54,"yes"
"100131897",374.45568333245,-2.20827054591581,0.139216740311662,-15.8621049521214,1.15941833781487e-56,9.26931772716228e-54,"yes"
"84875",460.346824371785,-1.27099573844517,0.083044664744501,-15.3049656152575,7.08394212362164e-53,5.44564427787792e-50,"yes"
"339290",1189.04268398411,1.48098157335929,0.096924411311896,15.2797582498964,1.04327016553007e-52,7.72290399942576e-50,"yes"
"3291",92.8969783664625,-2.9478477468847,0.196303064372515,-15.0168198153581,5.69764218729752e-51,3.9268542895695e-48,"yes"
"51715",395.046111554741,1.26020817113987,0.0849468469642098,14.835255411785,8.66734095956584e-50,5.77447145862808e-47,"yes"
"27352",690.911549483772,-1.01683779806179,0.0700032742768672,-14.5255748186883,8.34394149539248e-48,5.21157370838779e-45,"yes"
"23162",384.139360197664,-1.49266616328531,0.102882670408066,-14.5084313749333,1.07142764921897e-47,6.48928012876956e-45,"yes"
"400931",140.5114862226,-2.05420443434972,0.141767890865213,-14.4899132082227,1.4032001044491e-47,8.24875308459533e-45,"yes"
"28996",3041.45200539442,1.90197357167966,0.131547810199403,14.4584206213437,2.21829717618192e-47,1.26677444743851e-44,"yes"
"9762",273.216049025539,-1.20437886417344,0.0838984603357001,-14.3551962617002,9.88453094705332e-47,5.48783666774319e-44,"yes"
"197335",185.743819364772,-1.98549307932166,0.14195042564489,-13.9872287828757,1.86540074544519e-44,9.81151702610871e-42,"yes"
"728294",276.729443256761,-1.41724950450866,0.101426274412727,-13.973198884754,2.27188622047896e-44,1.16431256124905e-41,"yes"
"222223",502.070514041935,1.50801473286483,0.109025845607751,13.8317178322131,1.64055379314851e-43,8.19743716591481e-41,"yes"
"64599",1031.21644996933,-1.25347073084986,0.0909738908535514,-13.7783568350142,3.44013328203798e-43,1.67702302214861e-40,"yes"
"201294",109.938612823285,-2.0188011092501,0.147303725036312,-13.7050241516462,9.47357833915296e-43,4.50829548249167e-40,"yes"
"57186",886.318172492495,1.18680684163611,0.0868695603404397,13.6619413864309,1.71353696967969e-42,7.96475893325303e-40,"yes"
"4430",1549.68092434053,1.08482666539857,0.0798189476451585,13.5910920577562,4.5228124797502e-42,2.05448756892653e-39,"yes"
"54862",528.742763563717,-1.00667237810537,0.0744376433171553,-13.5237002844952,1.13328907556039e-41,4.92414103330988e-39,"yes"
"5552",1221.55758171422,1.15053710620801,0.0858907673299743,13.3953525154559,6.43696845616229e-41,2.68032684444408e-38,"yes"
"6376",2914.44954219708,-2.27616895726414,0.172023394855944,-13.2317407127691,5.7539140129754e-40,2.34700978321101e-37,"yes"
"5284",11862.1274894623,-4.73041822721581,0.36152767828724,-13.0845257813356,4.0367160135986e-39,1.61363685927591e-36,"yes"
"4609",939.113020324057,-1.65349134261622,0.127575111765778,-12.9609241154493,2.03777683568909e-38,7.98608737547407e-36,"yes"
"185",504.604389833409,1.64250957424217,0.127610537920347,12.8712691052788,6.53199714619468e-38,2.51067359540371e-35,"yes"
"7881",449.492176399382,1.57098240393808,0.122266382469834,12.8488499635269,8.72984032948983e-38,3.29213808802855e-35,"yes"
"126326",108.072247834319,2.14560429738907,0.167126737860283,12.8381869044963,1.00193550768614e-37,3.70846018372646e-35,"yes"
"6625",1278.85792604013,-1.13994193603884,0.0888729343129234,-12.8266490225819,1.16285835965973e-37,4.22582727900346e-35,"yes"
"84266",316.368062551962,-1.34411204565164,0.106378157105751,-12.6352258980709,1.350058693405e-36,4.81850412590817e-34,"yes"
"3672",1563.92751973499,1.71001501077755,0.137464757077441,12.4396612421482,1.59177559237773e-35,5.4853135801472e-33,"yes"
"91544",213.021228213032,-1.52871675624407,0.122880496122792,-12.4406785818675,1.57163029430456e-35,5.4853135801472e-33,"yes"
"8490",8449.9415107196,1.91578763169786,0.154119683046233,12.4305188917574,1.78472092552562e-35,6.04596900652214e-33,"yes"
"27151",536.987784267789,-1.40941188420194,0.113777068898325,-12.3874863173127,3.05468841611272e-35,1.01756762288075e-32,"yes"
"257194",678.303862571611,1.54182636965631,0.124858401187954,12.3485993332186,4.95668815565257e-35,1.62408731421357e-32,"yes"
"56931",159.496500060702,-1.43039687216585,0.116419924873998,-12.2865297646772,1.07001579996086e-34,3.39466758632027e-32,"yes"
"3575",201.735095758074,-2.19928087304937,0.179484444828246,-12.2533229838047,1.6125063604506e-34,5.03580697286347e-32,"yes"
"123096",754.577092567919,-2.08912619892887,0.171180158851523,-12.204254353689,2.94998540856166e-34,9.0709782093726e-32,"yes"
"6374",47.7401525928374,-3.51408777968446,0.288546282885655,-12.1785931343188,4.04193875663128e-34,1.2165395251573e-31,"yes"
"9781",670.982734104625,1.13532543299382,0.0932285918229101,12.1778674416793,4.07805814707255e-34,1.2165395251573e-31,"yes"
"143503",137.853979292799,3.96083840215056,0.32789125067393,12.0797319050437,1.35159695065947e-33,3.85919546469012e-31,"yes"
"63922",69.1010139549023,-2.17559096695037,0.180268204387147,-12.068633924361,1.54680702203129e-33,4.35437069709006e-31,"yes"
"4012",407.046727940569,1.4367930802563,0.119154888412291,12.0581966833355,1.75585389750324e-33,4.87420164574961e-31,"yes"
"29763",375.319953884737,-1.46600393818851,0.121635509802088,-12.052433870453,1.88306258111083e-33,5.15572216557016e-31,"yes"
"64788",320.459497341192,-1.46124964356419,0.121299745065767,-12.0466011101005,2.02113462312074e-33,5.45897536652895e-31,"yes"
"8825",228.026773247572,1.04870929191878,0.0873477072747232,12.0061456063227,3.29864229369101e-33,8.7906618032003e-31,"yes"
"3159",562.483507489497,-1.07800970179903,0.0904980963034207,-11.9119599840498,1.02538272795393e-32,2.6274775107199e-30,"yes"
"84809",243.110746420698,-1.0961662094471,0.0922325210997172,-11.8848123891353,1.41953446319889e-32,3.5914221918932e-30,"yes"
"23077",3011.86839747286,1.38536081502119,0.116747097706833,11.8663405106653,1.77043860693336e-32,4.42321955459714e-30,"yes"
"1535",430.891638743291,-1.40424926452644,0.118648983999961,-11.8353248143018,2.56349179272443e-32,6.3254951186646e-30,"yes"
"3437",611.485080384733,1.28275913983575,0.108485533012582,11.8242414837651,2.9253311066026e-32,7.13031619849589e-30,"yes"
"58489",202.501592873156,-1.504521157081,0.127539997927854,-11.796465277756,4.07053223656133e-32,9.80213588098208e-30,"yes"
"1128",180.333091969511,-4.268567842092,0.362576088495376,-11.7728884433768,5.38486341198243e-32,1.26620311782697e-29,"yes"
"203062",186.631946004658,-1.11112374166047,0.0943794038483037,-11.7729472358862,5.38111101966095e-32,1.26620311782697e-29,"yes"
"1119",822.978728646301,-1.93021117456277,0.165216918317471,-11.6828905551536,1.55902134033523e-31,3.58162753210117e-29,"yes"
"8175",492.226508184595,-1.16616240040437,0.099887053639746,-11.6748102773185,1.71447809287649e-31,3.89400836844573e-29,"yes"
"2042",159.762186603417,2.72563570354626,0.233524049069425,11.6717559258145,1.7771677966837e-31,3.9910396350918e-29,"yes"
"6132",19650.0012060937,-1.31293398598302,0.11255622311825,-11.664694759735,1.93094366827179e-31,4.2881967886387e-29,"yes"
"9610",95.4981344060413,-1.83798275990887,0.157647516662841,-11.6588120055182,2.06909093388469e-31,4.44676564468316e-29,"yes"
"56949",688.677214865497,-1.054029086637,0.0904947491895034,-11.6474060216442,2.36549996949991e-31,5.02970722238242e-29,"yes"
"55384",364.084442539091,-1.42089975438102,0.122120979882613,-11.6351814057407,2.73009088722289e-31,5.74382384872883e-29,"yes"
"29989",84.4668947415699,-3.09810976994257,0.266537996676867,-11.623520130597,3.12969763051407e-31,6.51596526469632e-29,"yes"
"590",102.715078865666,2.44214657254762,0.210914135907862,11.5788662624987,5.27389112781824e-31,1.08669342238869e-28,"yes"
"11080",665.369284415659,1.36677644487209,0.118097573135128,11.5732813857929,5.62879222303201e-31,1.14798643022184e-28,"yes"
"90864",499.185584051781,-1.19734151942784,0.103516308737625,-11.5666945047534,6.07794187481879e-31,1.22706893183842e-28,"yes"
"100507303",206.283532008765,-2.76519235514621,0.239805378474155,-11.5309855547891,9.20834705824252e-31,1.84047232653093e-28,"yes"
"738",1249.53748324619,-1.21690465188731,0.105654783646109,-11.5177430674917,1.07386996828136e-30,2.10425873098428e-28,"yes"
"7517",149.191798971741,-1.3279620432894,0.115509513688301,-11.4965599013157,1.37278411594048e-30,2.63825347358678e-28,"yes"
"7039",237.182637590646,-3.18146290994341,0.276850111508387,-11.4916439535081,1.45319813068086e-30,2.76619724170651e-28,"yes"
"30812",125.708299985,-3.22597090131792,0.283980389715903,-11.359836869529,6.62682651602817e-30,1.22639242199866e-27,"yes"
"84532",539.46291272921,-1.1247648078687,0.0993088635827601,-11.3259256756207,9.76418953788644e-30,1.77415323903397e-27,"yes"
"102723775",61.6305264918921,-3.02791465844941,0.267437379646747,-11.3219575455343,1.02164747962997e-29,1.8396097455283e-27,"yes"
"91543",217.917377220925,1.12925419838996,0.10040376551188,11.2471299520768,2.39250869371513e-29,4.23177621781277e-27,"yes"
"23491",124.519903862115,-4.00995096775768,0.357538459734578,-11.2154395102964,3.4248080145286e-29,6.00452963038449e-27,"yes"
"55151",186.040103209681,1.10393522238643,0.0986401660059803,11.1915385697901,4.48581401774708e-29,7.79634476284442e-27,"yes"
"55367",104.440899493196,-1.72163179846721,0.154081507088779,-11.1735134929284,5.49628801994476e-29,9.38925714996888e-27,"yes"
